Timestamp,Filename,Original Size (KB),Compressed Size (KB),Savings (%),API Response ID,Status
2025-04-15 12:23:35,boon-logo.png,21.12,7.80,63.07,N/A,Success
2025-04-15 12:23:35,eveready-logo.png,10.06,7.63,24.23,N/A,Success
2025-04-15 12:23:36,instyler-logo.png,40.98,12.97,68.34,N/A,Success
