Timestamp,Filename,Original Size (KB),Compressed Size (KB),Savings (%),Status
2026-05-22 14:19:01,Images\banners\Toys-520-400.jpg,84.66,36.71,56.64,Success
2026-05-22 14:19:02,Images\banners\Toys-520x400.jpg,84.66,36.71,56.64,Success
2026-05-22 14:19:03,Images\banners\wholesale-back-to-school-520x400.jpg,110.70,44.05,60.21,Success
2026-05-22 14:19:06,Images\banners\wholesale-back-to-school-520x400.webp,67.26,37.96,43.56,Success
2026-05-22 14:19:09,Images\banners\wholesale-health-and-beauty-520x400.webp,49.89,28.49,42.90,Success
2026-05-22 14:19:10,Images\banners\wholesale-toys-520x400.png,247.65,88.95,64.08,Success
